,artist,x,k,m,N,p-val,adj_pval(BH)
2009,Pearl Littlejohn,226,1672335,252,4313582,3.960605297393676e-65,5.577178888166605e-64
2122,Shasta Hahn,904,1672335,1494,4313582,5.646761452334399e-65,7.897835274548786e-64
755,Floria Story,954,1672335,1612,4313582,6.340090326269765e-62,8.749324650252275e-61
2093,Holly Fowler,954,1672335,1612,4313582,6.340090326269765e-62,8.749324650252275e-61
2081,Vannessa Holman,7260,1672335,16086,4313582,3.3013884309354096e-61,4.525744405322052e-60
1081,Leta Girard,2544,1672335,5073,4313582,4.76121824423003e-61,6.484027477339581e-60
1034,Mickey Bernal,382,1672335,516,4313582,4.470165259738223e-60,6.0478706455281835e-59
653,Chantel Gagne,1676,1672335,3159,4313582,9.623408290761928e-60,1.293536049472545e-58
854,Erlene Castillo,1093,1672335,1918,4313582,7.5958259408071425e-59,1.0144103030626314e-57
2182,Denver Goss,662,1672335,1044,4313582,1.3162698786399267e-58,1.7465888774260564e-57
834,Waylon Aviles,490,1672335,716,4313582,1.6415784201989955e-58,2.1643740954216058e-57
616,Larissa Yu,178,1672335,191,4313582,2.1763373300068142e-58,2.851277388046902e-57
1423,Marlene Compton,2326,1672335,4613,4313582,2.644873051738295e-58,3.443325293772497e-57
1872,Dollie Hobson,1476,1672335,2739,4313582,4.869589015333654e-58,6.300030788587915e-57
2145,Dorethea Pollock,1898,1672335,3664,4313582,7.990084878687346e-58,1.0272966272598016e-56
1908,Delila Jacob,146,1672335,149,4313582,1.335752274897451e-57,1.7067945734800763e-56
1999,Mariah Caudill,592,1672335,913,4313582,1.7916594353441365e-57,2.2752975651302836e-56
186,Lilia Madrid,710,1672335,1145,4313582,3.329673167293803e-57,4.202697229450105e-56
2150,Ayako Felton,2384,1672335,4758,4313582,5.55891674172838e-57,6.973913730531968e-56
107,Sage Vaughan,710,1672335,1148,4313582,1.3981629210265383e-56,1.7434923171836955e-55
2,Danna Hester,588,1672335,909,4313582,1.4121019515631223e-56,1.7503299639135706e-55
809,Dave Alonso,918,1672335,1573,4313582,6.680809787298434e-56,8.231712059349858e-55
